"","seed_inf","term","estimate","std.error","statistic","p.value"
"1","1 for 28","(Intercept)",-1.43435177361156,0.215566111162889,-6.65388342292689,3.59229646545319e-05
"2","1 for 28","log_pop",2.65571661423911,0.0329422990424607,80.6172213668526,1.33233008850665e-16
"3","2 for 14","(Intercept)",-2.27735659195296,0.170557534552341,-13.3524244351344,3.85335343640989e-08
"4","2 for 14","log_pop",2.69222134833277,0.0260641956978222,103.291940390001,8.75071921495122e-18
"5","2 for 28","(Intercept)",-2.7977231764793,0.171957957307801,-16.2698093201435,4.83112810726722e-09
"6","2 for 28","log_pop",2.70134753113103,0.0262782049636914,102.798023489941,9.22402050905269e-18
